Timestamp,How fast does human hair grow (cm/yr)?,"If every living person stood crammed together side-by-side, how large of an area would they occupy (km²)?","How many days would it take to walk from here to New York City (assuming no stopping to fix shoes, apply sunscreen, or for sleeping, eating, or other biological needs)?"
10/10/20 2:37,20,3500000,10
10/10/20 13:16,25,1 million,50
10/10/20 13:45,10^3 cm/yr,10^7 km^2,10^4
10/10/20 13:52,6cm/yr,1000km^2,200 days 
10/10/20 14:18,81,16875000000,28000
10/10/20 14:29,15,10,200
10/10/20 16:21,10^2,10^2,10^3
10/10/20 16:32,20,"250,000",100
10/10/20 16:42,15,800000,29 days
10/10/20 16:57,3,"5,000,000",10
10/10/20 17:16,10^2,7 * 10^7,10^3
10/10/20 17:54,25,8000,21
10/10/20 18:06,10 cm/yr,"750,000km^2",2 years
10/10/20 19:06,12,10^4,300
10/10/20 22:11,30,100,180
10/10/20 22:20,5,100,50
10/10/20 23:03,100,10000,forever
10/11/20 0:14,10,10^5,10
10/11/20 0:55,24,"6,000,000,000,000",35
10/11/20 3:28,100,10000,100
10/11/20 10:05,10^1,10^8,10^4
10/11/20 11:45,12,"1,000,000",100
10/11/20 12:30,19,1000,50
10/11/20 12:30,12,"100,000",20
10/11/20 16:36,15,1000,45
10/11/20 17:55,10,4000,12
10/11/20 18:59,25,"7,000,000,000,000",50
10/11/20 20:31,10,7000000000,30
10/11/20 21:52,25,1000,150
10/11/20 23:53,20,1000000,365
10/11/20 23:55,20,"7,000,000,000",21
10/12/20 0:00,30,1000000,78
10/12/20 1:00,10^2,10^6,100
10/12/20 1:37,16 cm/yr,"100,000 km squared",81 days
10/12/20 1:41,17,15,42
10/12/20 1:49,48 cm/yr,599km^2,8 days
10/12/20 8:04,10cm/yr,3.5x10^9 km,100 days (at 30mi/day)
10/12/20 8:47,60,7 x 10^7,31
10/12/20 9:06,10,800,42
10/12/20 9:51,65,1600000,180
10/12/20 9:51,7,10000000,20
10/12/20 9:57,6 cm/yr,10^5 km ^2,35 days
10/12/20 10:03,10,2.4x10^7,30
10/12/20 10:08,15,800,100
10/12/20 10:12,30 cm/yr,130000 km squared,25 days
10/12/20 10:12,60cm/yr,4 quadrillion,200
10/12/20 10:15,30,1500,100
10/12/20 10:16,10,2133600000,300
10/12/20 10:31,50,600,45
10/12/20 10:36,20,800000,100
10/12/20 10:36,15,800000,36
10/12/20 10:42,10,"100,000,000",1 week
10/12/20 10:51,30,3500000,30
10/12/20 10:53,18,700,500
10/12/20 11:23,20,200,120
10/12/20 11:35,100,1000000,10
10/12/20 11:36,10,100,30
10/12/20 11:51,50,100,150
10/12/20 11:53,5,100000,14
10/12/20 12:00,10,"10,000,000","100,000"
10/12/20 12:08,10 cm/yr,1000000km²,100 days
10/12/20 12:08,36 cm/yr,7000 km^2,200 Days
10/12/20 12:18,60,"7,000,000,000",30
10/12/20 12:20,5,1000000,90
10/12/20 12:21,8,7 billion,20
10/12/20 12:22,20,7mill km^2,300 days
10/12/20 12:47,36,1.13 * 10^12,1000
10/12/20 12:58,7,7 billion km^2,6 months
10/12/20 12:59,20,2000,200
10/12/20 13:27,10cm,2km square ,30 days 
